file,batch,client,product,qty,size_w,size_h,area_m2,material,flute,corr_cpm,corr_unit,pad1_unit,pad2_unit,pad_total,white_per_tonne,white_unit,print_unit,film_cpm,film_unit,subtotal_per_unit,other_cost,total_cost,contract_price,margin_pct,note
内销评估样本-356.xls,YW-2026-04-01,大型农化客户B,液体农化包装评估样本-356,17170,1340,1081,1.4485,EB 脱敏材料配置-957,EB,2.318515,1.705032,0.307374,0.258128,0.572269,3408.7383,0.672432,0.150943,,,3.24771,,4.134618,4.327082,5.0,
内销评估样本-280.xls,YW-2026-04-07,大型农化客户B,液体农化包装评估样本-280,17170,1340,1081,1.4485,EB 脱敏材料配置-235,EB,2.08929,1.556975,0.30765,0.262041,0.571374,3395.1665,0.663722,0.14892,,,3.107014,,3.968135,4.373734,8.5,
内销评估样本-239.xls,YW-2026-04-07,大型农化客户B,液体农化包装评估样本-239,17170,1340,1081,1.4485,EB 脱敏材料配置-235,EB,2.101428,1.559269,0.308661,0.258781,0.574993,3390.3243,0.665189,0.148863,,,3.086862,,3.955925,4.34086,8.5,
内销评估样本-779.xls,YW-2026-04-07,大型农化客户B,液体农化包装评估样本-779,10100,1340,1081,1.4485,EB 脱敏材料配置-677,EB,2.170255,1.601322,0.310992,0.258515,0.565924,3409.5908,0.667695,0.151308,,,3.228864,,4.11925,4.391654,6.4,
内销评估样本-047.xls,YW-2026-04-09,大型农化客户B,液体农化包装评估样本-047,2885,1340,1081,1.4485,EB 脱敏材料配置-222,EB,2.172435,1.604374,0.311345,0.25122,0.563494,3387.835,0.710376,0.50268,,,3.573466,,4.509389,4.733791,5.5,
内销评估样本-531.xls,YW-2026-05..,大型农化客户B,制造业纸箱评估样本-531,500,1240,925,1.147,EB 脱敏材料配置-816,EB,2.168184,1.271025,0.387134,,0.389204,3462.5258,0.584942,0.20932,0.26753,0.148681,2.599324,0.743471,3.343886,5.07299,34.4,
内销评估样本-349.xls,YW-2026-05..,大型农化客户B,制造业纸箱评估样本-349,2000,1240,925,1.147,EB 脱敏材料配置-816,EB,2.166113,1.269148,0.388818,,0.390113,3487.0918,0.545925,0.208784,0.271093,0.150628,2.569574,0.739904,3.329865,4.327606,23.3,
内销评估样本-096.xls,YW-2026-05..,大型农化客户B,制造业纸箱评估样本-096,1000,1310,925,1.2118,EB 脱敏材料配置-816,EB,2.168075,1.318256,0.438821,,0.44297,3432.7447,0.565343,0.208284,0.267689,0.150486,2.690334,0.735301,3.423626,4.339173,20.0,
内销评估样本-754.xls,YW-2026-05..,大型农化客户B,工业品纸箱评估样本-754,500,1056,921,0.9726,EB 脱敏材料配置-816,EB,2.240905,1.097761,0.099508,,0.10064,3435.8819,0.725437,2.492075,0.268739,0.130835,4.525157,0.816007,5.419511,,,
内销评估样本-622.xls,YW-2026-05..,大型农化客户B,工业品纸箱评估样本-622,1000,1056,921,0.9726,EB 脱敏材料配置-816,EB,2.213676,1.08831,0.099605,,0.099979,3421.9691,0.574699,1.253425,0.272076,0.130308,3.135604,0.813612,3.986714,,,
内销评估样本-831.xls,YW-2026-05..,大型农化客户B,工业品纸箱评估样本-831,2000,1056,921,0.9726,EB 脱敏材料配置-816,EB,2.24144,1.086686,0.100893,,0.100546,3426.6067,0.514881,0.627871,0.271893,0.131152,2.454588,0.816154,3.306502,,,
内销评估样本-694.xls,YW-2026-05..,大型农化客户B,工业品纸箱评估样本-694,3000,1056,921,0.9726,EB 脱敏材料配置-816,EB,2.234103,1.087864,0.099093,,0.100066,3438.7122,0.491441,0.629975,0.270764,0.130173,2.443416,0.827962,3.271899,,,
